Age,Value
0-4,3924490
5-10,4119566
10-14,3956340
15-19,3686133
20-24,4074640
25-29,4484067
30-34,4706828
35-39,4588196
40-44,4308130
45-49,4296121
50-54,4634540
55-59,4538925
60-64,3905016
65-69,3381761
70-74,3388488
75+,5892763
